순번,도서명,출판사,저자,바코드(ISBN),발행연도, 판매가격 
1,Folk Tales form Korea,한림출판사,정인섭,9780930878269 ,1982," 15,000 "
2,장승,열화당,이종철,9788930107020 ,1988," 30,000 "
3,중국 고적 발굴기,대원사,진순신,9788936905026 ,1988," 18,000 "
4,한국무신도,열화당,김태곤,9788930107037 ,1989," 35,000 "
5,한국의 불상,문예출판사,황수영,9788931002270 ,1989," 20,000 "
6,Panorama of 5000 Years : Korean History,한림출판사,앤드류 남,9780930878689 ,1990," 20,000 "
7,원융과 조화,열화당,강우방,9788930110341 ,1990," 50,000 "
8,니네베 발굴기,대원사,아놀드 C.브랙만,9788936905125 ,1990," 17,000 "
9,한국 호랑이,열화당,김호근,9788930107013 ,1991," 35,000 "
10,초가,열화당,황헌만,9788930107044 ,1991," 35,000 "
11,문화재의 과학적 보존,대원사,최광남,9788936909109 ,1991," 8,000 "
12,Korean Folk & Fairy Tales,한림출판사,SUZANNE CROWDER HAN,9780930878030 ,1993," 15,000 "
13,조선땅 마을지킴이,열화당,황헌만,9788930107051 ,1993," 40,000 "
14,겨레의 땅 부처님 땅,불지사,윤경렬,9788976380036 ,1993," 20,000 "
15,한국의 전통공예,열화당,이종석,9788930110426 ,1994," 30,000 "
16,동해 설악,돌베개,한국문화유산답사회,9788971990605 ,1994," 9,000 "
17,한국 근대회화 명품,통천문화사,국립광주박물관,2006845000395 ,1995," 20,000 "
18,한국의 탑,열화당,김희경,9788930108225 ,1995," 15,000 "
19,충남,돌베개,한국문화유산답사회,9788971990735 ,1995," 12,000 "
20,전남,돌베개,한국문화유산답사회,9788971990742 ,1995," 12,000 "
21,Let's Color Korea Traditional Lifestyles,한림출판사,SUZANNE CROWDER HAN,9780930878948 ,1996," 8,000 "
22,목재보존학,서울대학교 출판부,신동소,9788970967738 ,1996," 12,000 "
23,지리산 자락,돌베개,한국문화유산답사회,9788971990759 ,1996," 9,000 "
24,경기남부와 남한강,돌베개,한국문화유산답사회,9788971990766 ,1996," 10,000 "
25,살아있는 신화 바위그림,혜안,정동찬,9788985905350 ,1996," 12,000 "
26,실크로드 미술,열화당,권영필,9788930110501 ,1997," 50,000 "
27,벼루,대원사,권도홍,9788936900267 ,1997," 8,500 "
28,팔공산자락,돌베개,한국문화유산답사회,9788971990841 ,1997," 15,000 "
29,경기북부와 북한강,돌베개,한국문화유산답사회,9788971990858 ,1997," 12,000 "
30,경북 북부,돌베개,한국문화유산답사회,9788971990865 ,1997," 15,000 "
31,추사 김정희 9,명문당,권오상,9788972705307 ,1997," 7,000 "
32,옛사진 속의 전북 : 1894-1945,통천문화사,국립전주박물관,6000264454 ,1998," 15,000 "
33,중국낙양문물명품전,통천문화사,국립부여박물관,5000135376 ,1998," 10,000 "
34,서원,열화당,이상해,9788930100298 ,1998," 75,000 "
35,고려청자,대원사,정양모,9788936902001 ,1998," 8,500 "
36,동양미술사,예경,김원동,9788970840130 ,1998," 21,000 "
37,한국현대건축비평,예경,임석재,9788970841007 ,1998," 16,000 "
38,유라시아 유목제국사,사계절,르네 그루쎄,9788971965061 ,1998," 35,000 "
39,경주,돌베개,한국문화유산답사회,9788971990414 ,1998," 9,000 "
40,한려수도와 제주도,돌베개,한국문화유산답사회,9788971990872 ,1998," 13,000 "
41,충북,돌베개,한국문화유산답사회,9788971990889 ,1998," 10,000 "
42,고전문학의 향기를 찾아서,돌베개,정병헌,9788971991107 ,1998," 9,500 "
43,중국서예미학,동문선,송민,9788980380329 ,1998," 16,000 "
44,올해에도 피는 여의도의 해바라기,문학과의식,해바라기동인,9788988505069 ,1998," 9,000 "
45,백제 특별전 도록,통천문화사,국립중앙박물관,6000264117 ,1999," 23,000 "
46,가야의 그릇받침,통천문화사,국립김해박물관,6000031804 ,1999," 12,000 "
47,이어도로 가는 길목 최남단 마라도,각,문소연,8989719003 ,1999," 7,000 "
48,한국미의 조명,열화당,조요한,9788930100779 ,1999," 24,000 "
49,한국문화예술대계 2 : 한국회화사,일지사,안휘준,9788931202021 ,1999," 23,000 "
50,단원 김홍도 연구,일지사,진준현,9788931204902 ,1999," 42,000 "
51,그 섬에 유배된 사람들,문학과지성사,양진건,9788932011097 ,1999," 5,000 "
52,겸재를 따라가는 금강산 여행,대원사,최완수,9788936909451 ,1999," 22,000 "
53,중국미술사,예경,마이클 설리번,9788970841168 ,1999," 20,000 "
54,전북,돌베개,한국문화유산답사회,9788971990407 ,1999," 9,000 "
55,경주남산 : 천년 전의 얼굴들,미술문화,김대식,9788986353358 ,1999," 30,000 "
56,프랑스 도자 명품전,통천문화사,국립중앙박물관,898164019X,2000," 20,000 "
57,압독 사람들의 삶과 죽음,통천문화사,국립대구박물관,2006845000692 ,2000," 18,000 "
58,I Love Korea,한림출판사,한림출판사,9780930878870 ,2000," 18,000 "
59,Let's Visit Korea,한림출판사,Suzanne Crowder Han,9781565910102 ,2000," 15,000 "
60,우리의 原形(원형)을 찾는다,열화당,박정태,9788930107082 ,2000," 25,000 "
61,법공과 장엄,열화당,강우방,9788930110709 ,2000," 50,000 "
62,조선후기 백자 연구,일지사,방병선,9788931205015 ,2000," 30,000 "
63,사경,대원사,박상국,9788936900540 ,2000," 8,500 "
64,한옥의 고향,대원사,김대벽,9788936909550 ,2000," 18,000 "
65,왕릉풍수와 조선의 역사,대원사,장영훈,9788936909659 ,2000," 19,000 "
66,한국의 명문 종가,서울대학교출판문화원,이순형,9788952101396 ,2000," 24,000 "
67,한국의 선비와 선비정신,서울대학교출판문화원,금장태,9788952102218 ,2000," 12,000 "
68,금동불,예경,곽동석,9788970841366 ,2000," 16,000 "
69,토기.청자 1,예경,최건,9788970841373 ,2000," 12,000 "
70,백자.분청사기 1,예경,김재열,9788970841397 ,2000," 12,000 "
71,백자.분청사기 2,예경,김재열,9788970841403 ,2000," 10,000 "
72,민화 2,예경,윤열수,9788970841427 ,2000," 16,000 "
73,북한 향토사학자가 쓴 개성이야기,푸른숲,송경록,9788971842812 ,2000," 9,800 "
74,가야산과 덕유산,돌베개,한국문화유산답사회,9788971990896 ,2000," 9,000 "
75,사찰 장식 그 빛나는 상징의 세계,돌베개,허균,9788971991206 ,2000," 15,000 "
76,라틴아메리카,송산출판사,우덕룡,9788977800137 ,2000," 15,000 "
77,불단장엄 : 부처님 자리에 새겨진 조각,미술문화,이기선,9788986353365 ,2000," 35,000 "
78,Handicrafts of the Korean People,다할미디어,다할미디어,9788989988137 ,2000," 24,000 "
79,Bosch : Between Heaven and Hell,Taschen,Walter Bosing,9783822858561 ,2001," 14,000 "
80,새근원수필,열화당,김용준,9788930100175 ,2001," 18,000 "
81,한국의 목공예(상),열화당,이종석,9788930120241 ,2001," 17,000 "
82,문방사우,대원사,이겸노,9788936900229 ,2001," 8,500 "
83,부도,대원사,정영호,9788936900564 ,2001," 8,500 "
84,한국의 외래.귀화 식물,대원사,박수현,9788936901899 ,2001," 8,500 "
85,다비와 사리,대원사,박경진,9788936902452 ,2001," 8,500 "
86,한국의 문과 창호,대원사,주남철,9788936909611 ,2001," 21,000 "
87,중국의 불교미술,시공사,구노 미키,9788952710338 ,2001," 15,000 "
88,우리나라 오천년 이야기 생활사 1,계림북스,원영주,9788953300668 ,2001," 12,000 "
89,회화 1,예경,정병모,9788970841595 ,2001," 13,000 "
90,회화 2,예경,정병모,9788970841601 ,2001," 13,000 "
91,탑파,예경,박경식,9788970841618 ,2001," 16,000 "
92,Handbook of Korean Art : 韓國の土器·靑磁,예경,박영숙,9788970841762 ,2001," 18,000 "
93,Handbook of Korean Art : 韓國の白磁·粉靑沙器,예경,김재열,9788970841779 ,2001," 18,000 "
94,고대문명교류사,사계절,정수일,9788971968307 ,2001," 38,000 "
95,33가지 동물로 본 우리 문화의 상징세계,다른세상,김종대,9788977660205 ,2001," 14,000 "
96,"람세스, 이집트의 가장 위대한 파라오",가람기획,조이스 타일드 슬레이,9788984350939 ,2001," 13,000 "
97,영조대왕 글 글씨,미술문화,궁중유물전시관,9788986353600 ,2001," 20,000 "
98,인도미술,한길아트,비드야 데헤자,9788988360347 ,2001," 29,000 "
99,낙양가람기,눌와,양현지,9788995085240 ,2001," 12,000 "
100,한국인의 솜씨,다할미디어,손영학,9788995139363 ,2001," 20,000 "
101,신비한 황금의 나라 新羅黃金 (신라황금),씨티파트너,국립경주박물관,9788995189917 ,2001," 40,000 "
102,고려청자,한국박물관회,강대규,9788995201558 ,2001," 35,000 "
103,고려청자 (CD-ROM),한국박물관회,국립중앙박물관,9788995201565 ,2001," 25,000 "
104,신라의 빛,글밭,권오찬,9788995237410 ,2001," 25,000 "
